name,latitude,longitude,street,city,state,zip_code,phone,open_hours,style_url,description
Grocery Outlet,44.96316,-122.98357,2879 Lancaster Drive Ne,Salem,OR,97305,503-370-8500,monday - friday:  8am - 9pm | saturday:  8am - 9pm | sunday:  8am - 9pm,#icon-1685-A52714,Latitude: 44.96316<br>Longitude: -122.98357<br>Street: 2879 Lancaster Drive Ne<br>City: Salem<br>State: OR<br>Zip_Code: 97305<br>Phone: 503-370-8500<br>Open Hours: monday - friday:  8am - 9pm | saturday:  8am - 9pm | sunday:  8am - 9pm
Grocery Outlet,38.25912,-122.0349,200 Travis Boulevard,Fairfield,CA,94533,707-428-9721,monday - friday:  7am - 9pm | saturday:  7am - 9pm | sunday:  7am - 9pm,#icon-1685-A52714,Latitude: 38.25912<br>Longitude: -122.0349<br>Street: 200 Travis Boulevard<br>City: Fairfield<br>State: CA<br>Zip_Code: 94533<br>Phone: 707-428-9721<br>Open Hours: monday - friday:  7am - 9pm | saturday:  7am - 9pm | sunday:  7am - 9pm
Grocery Outlet,45.34302,-122.59629,878 Molalla Avenue,Oregon City,OR,97045,503-655-7975,monday - friday:  7am - 9pm | saturday:  7am - 9pm | sunday:  7am - 9pm,#icon-1685-A52714,Latitude: 45.34302<br>Longitude: -122.59629<br>Street: 878 Molalla Avenue<br>City: Oregon City<br>State: OR<br>Zip_Code: 97045<br>Phone: 503-655-7975<br>Open Hours: monday - friday:  7am - 9pm | saturday:  7am - 9pm | sunday:  7am - 9pm
Grocery Outlet,39.268733,-119.577023,7 Dayton Village Parkway,Dayton,NV,89403,775-350-7092,monday - friday:  7am - 9pm | saturday:  7am - 9pm | sunday:  7am - 9pm,#icon-1685-A52714,Latitude: 39.268733<br>Longitude: -119.577023<br>Street: 7 Dayton Village Parkway<br>City: Dayton<br>State: NV<br>Zip_Code: 89403<br>Phone: 775-350-7092<br>Open Hours: monday - friday:  7am - 9pm | saturday:  7am - 9pm | sunday:  7am - 9pm
Grocery Outlet,32.9563453,-117.041999,13345 Poway Road,Poway,CA,92064,858-513-0050,monday - friday:  7am - 10pm | saturday:  7am - 10pm | sunday:  7am - 10pm,#icon-1685-A52714,Latitude: 32.9563453<br>Longitude: -117.041999<br>Street: 13345 Poway Road<br>City: Poway<br>State: CA<br>Zip_Code: 92064<br>Phone: 858-513-0050<br>Open Hours: monday - friday:  7am - 10pm | saturday:  7am - 10pm | sunday:  7am - 10pm
Grocery Outlet,40.42004119,-74.17960179,3057 Nj-35,Hazlet,NJ,7730,732-847-3057,monday - friday:  8am - 9pm | saturday:  8am - 9pm | sunday:  8am - 9pm,#icon-1685-A52714,Latitude: 40.42004119<br>Longitude: -74.17960179<br>Street: 3057 Nj-35<br>City: Hazlet<br>State: NJ<br>Zip_Code: 7730<br>Phone: 732-847-3057<br>Open Hours: monday - friday:  8am - 9pm | saturday:  8am - 9pm | sunday:  8am - 9pm
Grocery Outlet,42.31311,-122.85916,35 East Stewart Avenue,Medford,OR,97501,541-773-8740,monday - friday:  8-9 | saturday:  8-9 | sunday:  8-9,#icon-1685-A52714,Latitude: 42.31311<br>Longitude: -122.85916<br>Street: 35 East Stewart Avenue<br>City: Medford<br>State: OR<br>Zip_Code: 97501<br>Phone: 541-773-8740<br>Open Hours: monday - friday:  8-9 | saturday:  8-9 | sunday:  8-9
Grocery Outlet,38.46890094,-121.41565203,7923 E Stockton Boulevard,Sacramento,CA,95823,916-405-6081,monday - friday:  8-9 | saturday:  8-9 | sunday:  8-9,#icon-1685-A52714,Latitude: 38.46890094<br>Longitude: -121.41565203<br>Street: 7923 E Stockton Boulevard<br>City: Sacramento<br>State: CA<br>Zip_Code: 95823<br>Phone: 916-405-6081<br>Open Hours: monday - friday:  8-9 | saturday:  8-9 | sunday:  8-9
Grocery Outlet,40.07301587,-75.03456892,2524 Welsh Road Suite 253,Philadelphia,PA,19152,215-552-2987,monday - friday:  8am - 9pm | saturday:  8am - 9pm | sunday:  8am - 9pm,#icon-1685-A52714,Latitude: 40.07301587<br>Longitude: -75.03456892<br>Street: 2524 Welsh Road Suite 253<br>City: Philadelphia<br>State: PA<br>Zip_Code: 19152<br>Phone: 215-552-2987<br>Open Hours: monday - friday:  8am - 9pm | saturday:  8am - 9pm | sunday:  8am - 9pm
Grocery Outlet,36.213975,-119.346884,170 E Cross Avenue,Tulare,CA,93274,559-684-1953,monday - friday:  8-9 | saturday:  8-9 | sunday:  8-9,#icon-1685-A52714,Latitude: 36.213975<br>Longitude: -119.346884<br>Street: 170 E Cross Avenue<br>City: Tulare<br>State: CA<br>Zip_Code: 93274<br>Phone: 559-684-1953<br>Open Hours: monday - friday:  8-9 | saturday:  8-9 | sunday:  8-9
Grocery Outlet,32.7566149,-117.0802924,4360 54th Street,San Diego,CA,92115,619-764-4555,monday - friday:  8am-9pm | saturday:  8am-9pm | sunday:  8am-9pm,#icon-1685-A52714,Latitude: 32.7566149<br>Longitude: -117.0802924<br>Street: 4360 54th Street<br>City: San Diego<br>State: CA<br>Zip_Code: 92115<br>Phone: 619-764-4555<br>Open Hours: monday - friday:  8am-9pm | saturday:  8am-9pm | sunday:  8am-9pm
Grocery Outlet,40.03392,-76.244826,1951 Lincoln Highway East,Lancaster,PA,17602,717-392-0635,monday - friday:  7am - 9pm | saturday:  7am - 9pm | sunday:  7am - 9pm,#icon-1685-A52714,Latitude: 40.03392<br>Longitude: -76.244826<br>Street: 1951 Lincoln Highway East<br>City: Lancaster<br>State: PA<br>Zip_Code: 17602<br>Phone: 717-392-0635<br>Open Hours: monday - friday:  7am - 9pm | saturday:  7am - 9pm | sunday:  7am - 9pm
Grocery Outlet,33.8310071,-118.0119036,3430 W Lincoln Avenue,Anaheim,CA,92801,714-226-9245,monday - friday:  8am - 10pm | saturday:  8am - 10pm | sunday:  8am - 10pm,#icon-1685-A52714,Latitude: 33.8310071<br>Longitude: -118.0119036<br>Street: 3430 W Lincoln Avenue<br>City: Anaheim<br>State: CA<br>Zip_Code: 92801<br>Phone: 714-226-9245<br>Open Hours: monday - friday:  8am - 10pm | saturday:  8am - 10pm | sunday:  8am - 10pm
Grocery Outlet,33.9187155,-117.995444,15745 Imperial Highway Suite B,La Mirada,CA,90638,562-475-5395,monday - friday:  8am-10pm | saturday:  8am-10pm | sunday:  8am-10pm,#icon-1685-A52714,Latitude: 33.9187155<br>Longitude: -117.995444<br>Street: 15745 Imperial Highway Suite B<br>City: La Mirada<br>State: CA<br>Zip_Code: 90638<br>Phone: 562-475-5395<br>Open Hours: monday - friday:  8am-10pm | saturday:  8am-10pm | sunday:  8am-10pm
Grocery Outlet,43.39167,-124.26337,1385 Newmark Avenue,Coos Bay,OR,97420,541-888-6702,monday - friday:  8-9 | saturday:  8-9 | sunday:  8-8,#icon-1685-A52714,Latitude: 43.39167<br>Longitude: -124.26337<br>Street: 1385 Newmark Avenue<br>City: Coos Bay<br>State: OR<br>Zip_Code: 97420<br>Phone: 541-888-6702<br>Open Hours: monday - friday:  8-9 | saturday:  8-9 | sunday:  8-8
Grocery Outlet,38.573992,-121.485095,1700 Capitol Avenue,Sacramento,CA,95811,916-930-0899,monday - friday:  7am - 10pm | saturday:  7am - 10pm | sunday:  7am - 10pm,#icon-1685-A52714,Latitude: 38.573992<br>Longitude: -121.485095<br>Street: 1700 Capitol Avenue<br>City: Sacramento<br>State: CA<br>Zip_Code: 95811<br>Phone: 916-930-0899<br>Open Hours: monday - friday:  7am - 10pm | saturday:  7am - 10pm | sunday:  7am - 10pm
Grocery Outlet,38.62805,-121.38303,3431 Watt Avenue,Sacramento,CA,95821,916-486-7920,monday - friday:  8am - 9pm | saturday:  8am - 9pm | sunday:  8am - 9pm,#icon-1685-A52714,Latitude: 38.62805<br>Longitude: -121.38303<br>Street: 3431 Watt Avenue<br>City: Sacramento<br>State: CA<br>Zip_Code: 95821<br>Phone: 916-486-7920<br>Open Hours: monday - friday:  8am - 9pm | saturday:  8am - 9pm | sunday:  8am - 9pm
Grocery Outlet,39.390775,-123.348716,1718 S Main Street,Willits,CA,95490,707-456-0400,monday - friday:  8am - 9pm | saturday:  8am - 9pm | sunday:  8am - 9pm,#icon-1685-A52714,Latitude: 39.390775<br>Longitude: -123.348716<br>Street: 1718 S Main Street<br>City: Willits<br>State: CA<br>Zip_Code: 95490<br>Phone: 707-456-0400<br>Open Hours: monday - friday:  8am - 9pm | saturday:  8am - 9pm | sunday:  8am - 9pm
Grocery Outlet,34.0899428,-117.9604229,4249 Maine Avenue,Baldwin Park,CA,91706,626-498-0707,monday - friday:  7am - 10pm | saturday:  7am - 10pm | sunday:  7am - 10pm,#icon-1685-A52714,Latitude: 34.0899428<br>Longitude: -117.9604229<br>Street: 4249 Maine Avenue<br>City: Baldwin Park<br>State: CA<br>Zip_Code: 91706<br>Phone: 626-498-0707<br>Open Hours: monday - friday:  7am - 10pm | saturday:  7am - 10pm | sunday:  7am - 10pm
Grocery Outlet,38.55283,-121.729896,1800 E 8th Street Suite B,Davis,CA,95616,530-757-4430,monday - friday:  8am - 9pm | saturday:  8am - 9pm | sunday:  8am - 9pm,#icon-1685-A52714,Latitude: 38.55283<br>Longitude: -121.729896<br>Street: 1800 E 8th Street Suite B<br>City: Davis<br>State: CA<br>Zip_Code: 95616<br>Phone: 530-757-4430<br>Open Hours: monday - friday:  8am - 9pm | saturday:  8am - 9pm | sunday:  8am - 9pm
Grocery Outlet,34.1275214,-117.8914194,355 N Citrus Avenue,Azusa,CA,91702,626-334-6355,monday - friday:  7am-10pm | saturday:  7am-10pm | sunday:  7am-10pm,#icon-1685-A52714,Latitude: 34.1275214<br>Longitude: -117.8914194<br>Street: 355 N Citrus Avenue<br>City: Azusa<br>State: CA<br>Zip_Code: 91702<br>Phone: 626-334-6355<br>Open Hours: monday - friday:  7am-10pm | saturday:  7am-10pm | sunday:  7am-10pm
Grocery Outlet,44.7836041,-117.8075835,297 Campbell Street,Baker City,OR,97814,541-523-1126,monday - friday:  7am-9pm | saturday:  7am-9pm | sunday:  7am-9pm,#icon-1685-A52714,Latitude: 44.7836041<br>Longitude: -117.8075835<br>Street: 297 Campbell Street<br>City: Baker City<br>State: OR<br>Zip_Code: 97814<br>Phone: 541-523-1126<br>Open Hours: monday - friday:  7am-9pm | saturday:  7am-9pm | sunday:  7am-9pm
Grocery Outlet,33.9037131,-118.2552107,2175 West Rosecrans Avenue,Compton,CA,90222,310-667-5527,monday - friday:  7am-10pm | saturday:  7am-10pm | sunday:  7am-10pm,#icon-1685-A52714,Latitude: 33.9037131<br>Longitude: -118.2552107<br>Street: 2175 West Rosecrans Avenue<br>City: Compton<br>State: CA<br>Zip_Code: 90222<br>Phone: 310-667-5527<br>Open Hours: monday - friday:  7am-10pm | saturday:  7am-10pm | sunday:  7am-10pm
Grocery Outlet,37.270877,-121.907068,1665 Foxworthy Avenue,San Jose,CA,95124,408-440-5920,monday - friday:  8am - 9pm | saturday:  8am - 9pm | sunday:  8am - 9pm,#icon-1685-A52714,Latitude: 37.270877<br>Longitude: -121.907068<br>Street: 1665 Foxworthy Avenue<br>City: San Jose<br>State: CA<br>Zip_Code: 95124<br>Phone: 408-440-5920<br>Open Hours: monday - friday:  8am - 9pm | saturday:  8am - 9pm | sunday:  8am - 9pm
Grocery Outlet,38.59592,-121.28741,2801 Zinfandel Drive,Rancho Cordova,CA,95670,916-858-2808,monday - friday:  7am - 9pm | saturday:  7am - 9pm | sunday:  7am - 8pm,#icon-1685-A52714,Latitude: 38.59592<br>Longitude: -121.28741<br>Street: 2801 Zinfandel Drive<br>City: Rancho Cordova<br>State: CA<br>Zip_Code: 95670<br>Phone: 916-858-2808<br>Open Hours: monday - friday:  7am - 9pm | saturday:  7am - 9pm | sunday:  7am - 8pm
Grocery Outlet,43.52469128,-114.3203462,615 N Main Street,Hailey,ID,83333,208-928-4190,monday - friday:  8am - 9pm | saturday:  8am - 9pm | sunday:  8am - 9pm,#icon-1685-A52714,Latitude: 43.52469128<br>Longitude: -114.3203462<br>Street: 615 N Main Street<br>City: Hailey<br>State: ID<br>Zip_Code: 83333<br>Phone: 208-928-4190<br>Open Hours: monday - friday:  8am - 9pm | saturday:  8am - 9pm | sunday:  8am - 9pm
Grocery Outlet,41.01846864,-80.35299338,1700 Wilmington Road,New Castle,PA,16105,,,#icon-1685-A52714,Latitude: 41.01846864<br>Longitude: -80.35299338<br>Street: 1700 Wilmington Road<br>City: New Castle<br>State: PA<br>Zip_Code: 16105<br>Phone: <br>Open Hours:
Grocery Outlet,33.13423,-117.06135,1516 E Valley Parkway,Escondido,CA,92027,760-658-8970,monday - friday:  8am - 9pm | saturday:  8am - 9pm | sunday:  8am - 9pm,#icon-1685-A52714,Latitude: 33.13423<br>Longitude: -117.06135<br>Street: 1516 E Valley Parkway<br>City: Escondido<br>State: CA<br>Zip_Code: 92027<br>Phone: 760-658-8970<br>Open Hours: monday - friday:  8am - 9pm | saturday:  8am - 9pm | sunday:  8am - 9pm
Grocery Outlet,48.8456105,-122.5774443,1750 Labounty Dr Unit 101,Ferndale,WA,98248,360-922-7350,monday - friday:  8am - 8pm | saturday:  8am - 8pm | sunday:  8am - 8pm,#icon-1685-A52714,Latitude: 48.8456105<br>Longitude: -122.5774443<br>Street: 1750 Labounty Dr Unit 101<br>City: Ferndale<br>State: WA<br>Zip_Code: 98248<br>Phone: 360-922-7350<br>Open Hours: monday - friday:  8am - 8pm | saturday:  8am - 8pm | sunday:  8am - 8pm
Grocery Outlet,45.909123,-122.741018,1325 Lewis River Rd,Woodland,WA,98674,360-841-8375,monday - friday:  8am-9pm | saturday:  8am-9pm | sunday:  8am-9pm,#icon-1685-A52714,Latitude: 45.909123<br>Longitude: -122.741018<br>Street: 1325 Lewis River Rd<br>City: Woodland<br>State: WA<br>Zip_Code: 98674<br>Phone: 360-841-8375<br>Open Hours: monday - friday:  8am-9pm | saturday:  8am-9pm | sunday:  8am-9pm
Grocery Outlet,37.67974,-121.78022,1320 Railroad Avenue,Livermore,CA,94550,925-961-0019,monday - friday:  8am - 9pm | saturday:  8am - 9pm | sunday:  8am - 9pm,#icon-1685-A52714,Latitude: 37.67974<br>Longitude: -121.78022<br>Street: 1320 Railroad Avenue<br>City: Livermore<br>State: CA<br>Zip_Code: 94550<br>Phone: 925-961-0019<br>Open Hours: monday - friday:  8am - 9pm | saturday:  8am - 9pm | sunday:  8am - 9pm
Grocery Outlet,46.67292,-122.97899,1369 Nw Louisiana Avenue,Chehalis,WA,98532,360-767-0139,monday - friday:  8am - 9pm | saturday:  8am - 9pm | sunday:  8am - 9pm,#icon-1685-A52714,Latitude: 46.67292<br>Longitude: -122.97899<br>Street: 1369 Nw Louisiana Avenue<br>City: Chehalis<br>State: WA<br>Zip_Code: 98532<br>Phone: 360-767-0139<br>Open Hours: monday - friday:  8am - 9pm | saturday:  8am - 9pm | sunday:  8am - 9pm
Grocery Outlet,37.30127,-121.85839,2300 Monterey Highway,San Jose,CA,95112,408-292-2132,monday - friday:  8-9 | saturday:  8-9 | sunday:  8-9,#icon-1685-A52714,Latitude: 37.30127<br>Longitude: -121.85839<br>Street: 2300 Monterey Highway<br>City: San Jose<br>State: CA<br>Zip_Code: 95112<br>Phone: 408-292-2132<br>Open Hours: monday - friday:  8-9 | saturday:  8-9 | sunday:  8-9
Grocery Outlet,34.15225126,-118.02595472,165 E Foothill Boulevard,Arcadia,CA,91006,626-239-6939,monday - friday:  7am - 10pm | saturday:  7am - 10pm | sunday:  7am - 10pm,#icon-1685-A52714,Latitude: 34.15225126<br>Longitude: -118.02595472<br>Street: 165 E Foothill Boulevard<br>City: Arcadia<br>State: CA<br>Zip_Code: 91006<br>Phone: 626-239-6939<br>Open Hours: monday - friday:  7am - 10pm | saturday:  7am - 10pm | sunday:  7am - 10pm
Grocery Outlet,47.19943,-121.98964,960 Roosevelt Avenue,Enumclaw,WA,98022,360-825-9142,monday - friday:  8-9 | saturday:  8-9 | sunday:  8-9,#icon-1685-A52714,Latitude: 47.19943<br>Longitude: -121.98964<br>Street: 960 Roosevelt Avenue<br>City: Enumclaw<br>State: WA<br>Zip_Code: 98022<br>Phone: 360-825-9142<br>Open Hours: monday - friday:  8-9 | saturday:  8-9 | sunday:  8-9
Grocery Outlet,48.200286,-122.125104,123 East Burke Ave,Arlington,WA,98223,360-322-6172,monday - friday:  8am-8pm | saturday:  8am-8pm | sunday:  8am-8pm,#icon-1685-A52714,Latitude: 48.200286<br>Longitude: -122.125104<br>Street: 123 East Burke Ave<br>City: Arlington<br>State: WA<br>Zip_Code: 98223<br>Phone: 360-322-6172<br>Open Hours: monday - friday:  8am-8pm | saturday:  8am-8pm | sunday:  8am-8pm
Grocery Outlet,46.05564,-118.34607,910 South 9th Avenue,Walla Walla,WA,99362,509-525-5753,monday - friday:  8-9 | saturday:  8-9 | sunday:  8-9,#icon-1685-A52714,Latitude: 46.05564<br>Longitude: -118.34607<br>Street: 910 South 9th Avenue<br>City: Walla Walla<br>State: WA<br>Zip_Code: 99362<br>Phone: 509-525-5753<br>Open Hours: monday - friday:  8-9 | saturday:  8-9 | sunday:  8-9
Grocery Outlet,43.6680381,-121.505085,51420 Us-97 Suite 200,La Pine,OR,97739,541-876-6336,monday - friday:  8am-9pm | saturday:  8am-9pm | sunday:  8am-9pm,#icon-1685-A52714,Latitude: 43.6680381<br>Longitude: -121.505085<br>Street: 51420 Us-97 Suite 200<br>City: La Pine<br>State: OR<br>Zip_Code: 97739<br>Phone: 541-876-6336<br>Open Hours: monday - friday:  8am-9pm | saturday:  8am-9pm | sunday:  8am-9pm
Grocery Outlet,46.256098,-119.304824,2901 Queensgate Drive,Richland,WA,99352,509-627-6051,monday - friday:  7am - 10pm | saturday:  7am - 10pm | sunday:  7am - 10pm,#icon-1685-A52714,Latitude: 46.256098<br>Longitude: -119.304824<br>Street: 2901 Queensgate Drive<br>City: Richland<br>State: WA<br>Zip_Code: 99352<br>Phone: 509-627-6051<br>Open Hours: monday - friday:  7am - 10pm | saturday:  7am - 10pm | sunday:  7am - 10pm
Grocery Outlet,34.1815613,-118.87454391,25 E Hillcrest Drive,Thousand Oaks,CA,91360,805-370-0511,monday - friday:  7am - 10pm | saturday:  7am - 10pm | sunday:  7am - 10pm,#icon-1685-A52714,Latitude: 34.1815613<br>Longitude: -118.87454391<br>Street: 25 E Hillcrest Drive<br>City: Thousand Oaks<br>State: CA<br>Zip_Code: 91360<br>Phone: 805-370-0511<br>Open Hours: monday - friday:  7am - 10pm | saturday:  7am - 10pm | sunday:  7am - 10pm
Grocery Outlet,33.1809,-117.29513,3508 College Boulevard,Oceanside,CA,92056,760-806-8999,monday - friday:  8am - 9pm | saturday:  8am - 9pm | sunday:  8am - 9pm,#icon-1685-A52714,Latitude: 33.1809<br>Longitude: -117.29513<br>Street: 3508 College Boulevard<br>City: Oceanside<br>State: CA<br>Zip_Code: 92056<br>Phone: 760-806-8999<br>Open Hours: monday - friday:  8am - 9pm | saturday:  8am - 9pm | sunday:  8am - 9pm
Grocery Outlet,47.306053,-119.561529,1460 Sw Basin Street,Ephrata,WA,98823,509-398-8962,monday - friday:  8am - 9pm | saturday:  8am - 9pm | sunday:  8am - 9pm,#icon-1685-A52714,Latitude: 47.306053<br>Longitude: -119.561529<br>Street: 1460 Sw Basin Street<br>City: Ephrata<br>State: WA<br>Zip_Code: 98823<br>Phone: 509-398-8962<br>Open Hours: monday - friday:  8am - 9pm | saturday:  8am - 9pm | sunday:  8am - 9pm
Grocery Outlet,44.62876,-123.08134,1950 14th Avenue Se,Albany,OR,97322,541-791-1588,monday - friday:  8am - 9pm | saturday:  8am - 9pm | sunday:  8am - 9pm,#icon-1685-A52714,Latitude: 44.62876<br>Longitude: -123.08134<br>Street: 1950 14th Avenue Se<br>City: Albany<br>State: OR<br>Zip_Code: 97322<br>Phone: 541-791-1588<br>Open Hours: monday - friday:  8am - 9pm | saturday:  8am - 9pm | sunday:  8am - 9pm
Grocery Outlet,39.606959,-119.2231497,1305 Chisholm Trail,Fernley,NV,89408,775-302-3498,monday - friday:  8am - 9pm | saturday:  8am - 9pm | sunday:  8am - 9pm,#icon-1685-A52714,Latitude: 39.606959<br>Longitude: -119.2231497<br>Street: 1305 Chisholm Trail<br>City: Fernley<br>State: NV<br>Zip_Code: 89408<br>Phone: 775-302-3498<br>Open Hours: monday - friday:  8am - 9pm | saturday:  8am - 9pm | sunday:  8am - 9pm
