"retailer","location_id","identifier","street_address","city","state","zip_code","country","latitude","longitude","phone"
"ALDI 200 N Hood Ave","5767937","L323","200 N Hood Ave","Gadsden","Alabama","35903","US","34.010296","-85.993368","+1 855-955-2534"
"ALDI 11100 US Hwy 431","5767864","L313","11100 US Hwy 431","Guntersville","Alabama","35976","US","34.29895","-86.266969","+1 855-955-2534"
"ALDI 428 Green Springs Hwy","5767506","L264","428 Green Springs Hwy","Homewood","Alabama","35209","US","33.463862","-86.821484","+1 855-955-2534"
"ALDI 1025 Marble Terrace","5766791","L255","1025 Marble Terrace","Hoover","Alabama","35244","US","33.354608","-86.8473","+1 855-955-2534"
"ALDI 2891 Allison-Bonnett Memori","5767454","L257","2891 Allison-Bonnett Memori","Hueytown","Alabama","35023","US","33.45239","-86.96887","+1 855-955-2534"
"ALDI 11909 Memorial Pkwy S","5767837","L308","11909 Memorial Pkwy S","Huntsville","Alabama","35803","US","34.612789","-86.56585","+1 855-955-2534"
"ALDI 2125 Winchester Rd NE","5767928","L310","2125 Winchester Rd NE","Huntsville","Alabama","35811","US","34.817196","-86.495491","+1 855-955-2534"
"ALDI 2900 Memorial Pkwy SW Ste A","5766857","L311","2900 Memorial Pkwy SW Ste A","Huntsville","Alabama","35801","US","34.70633","-86.59047","+1 855-955-2534"
"ALDI 4710 University Dr Unit R1","5767842","L309","4710 University Dr Unit R1","Huntsville","Alabama","35816","US","34.736724","-86.648936","+1 855-955-2534"
"ALDI 40 N Walston Bridge Rd","5767824","L306","40 N Walston Bridge Rd","Jasper","Alabama","35504","US","33.846959","-87.25789","+1 855-955-2534"
"ALDI 7676 Hwy 72 W","5767953","L325","7676 Hwy 72 W","Madison","Alabama","35758","US","34.755889","-86.736152","+1 855-955-2534"
"ALDI 8455 Madison Blvd","5766251","FF04","8455 Madison Blvd","Madison","Alabama","35758","US","34.682615","-86.735632","+1 855-955-2534"
"ALDI 1550 Government Street","5768033","FP17","1550 Government Street","Mobile","Alabama","36604","US","30.68049","-88.07532","+1 855-955-2534"
"ALDI 3658 Airport Blvd","5768382","L984","3658 Airport Blvd","Mobile","Alabama","36608","US","30.67726","-88.13172","+1 855-955-2534"
"ALDI 5021 Rangeline Crossing Dr","5768045","L986","5021 Rangeline Crossing Dr","Mobile","Alabama","36619","US","30.597774","-88.162642","+1 855-955-2534"
"ALDI 975 Schillinger Rd S","5768344","L985","975 Schillinger Rd S","Mobile","Alabama","36695","US","30.66901","-88.22526","+1 855-955-2534"
"ALDI 9948 Airport Blvd","6367982","FP57","9948 Airport Boulevard","Mobile","Alabama","36608","US","30.67243","-88.2775","+1 855-955-2534"
"ALDI 1568 Eastern Blvd","5768104","L971","1568 Eastern Blvd","Montgomery","Alabama","36117","US","32.355944","-86.21948","+1 855-955-2534"
"ALDI 1740 Carter Hill Road","5873444","FP31","1740 Carter Hill Road","Montgomery","Alabama","36106","US","32.35791","-86.28413","+1 855-955-2534"
"ALDI 7340 Eastchase Parkway","5767856","L974","7340 Eastchase Parkway","Montgomery","Alabama","36117","US","32.359658","-86.16381","+1 855-955-2534"
"ALDI 516 W Avalon Ave","5767853","L312","516 W Avalon Ave","Muscle Shoals","Alabama","35661","US","34.744373","-87.669486","+1 855-955-2534"
"ALDI 10 Mcfarland Blvd","5767995","FP12","10 Mcfarland Blvd","Northport","Alabama","35476","US","33.23727","-87.55249","+1 855-955-2534"
"ALDI 13620 Highway 43 N","5873447","FP30","13620 Highway 43 N","Northport","Alabama","35475","US","33.30629","-87.60287","+1 855-955-2534"
"ALDI 5801 McFarland Blvd","5766995","L305","5801 McFarland Blvd","Northport","Alabama","35476","US","33.2342584","-87.6147206","+1 855-955-2534"
"ALDI 2400 Frederick Road","5873445","FP11","2400 Frederick Road","Opelika","Alabama","36801","US","32.623169","-85.411874","+1 855-955-2534"
"ALDI 75 Holmes Dr","5767460","L258","75 Holmes Dr","Oxford","Alabama","36203","US","33.609614","-85.825809","+1 855-955-2534"
"ALDI 200 Big Mtn Rd","5766827","L260","200 Big Mtn Rd","Pelham","Alabama","35124","US","33.34377","-86.795147","+1 855-955-2534"
"ALDI 3670 Marketplace Drive","5767376","L972","3670 Marketplace Drive","Phenix City","Alabama","36867","US","32.496883","-85.044117","+1 855-955-2534"
"ALDI 4701 Pinson Blvd","5767849","FM81","4701 Pinson Blvd","Pinson","Alabama","35126","US","33.69549","-86.67962","+1 855-955-2534"
"ALDI 1817 East Main Street","5767697","L970","1817 East Main Street","Prattville","Alabama","36066","US","32.461834","-86.42036","+1 855-955-2534"
"ALDI 3331 Rainbow Dr","5766257","FM86","3331 Rainbow Dr","Rainbow City","Alabama","35906","US","33.96028","-86.03699","+1 855-955-2534"
"ALDI 1952 W Dallas Ave","5757803","FP15","1952 W Dallas Ave","Selma","Alabama","36701","US","32.39817","-87.065219","+1 855-955-2534"
"ALDI 9082 Moffett Road","5767956","FP05","9082 Moffett Road","Semmes","Alabama","36575","US","30.78001","-88.25709","+1 855-955-2534"
"ALDI 1349 McFarland Blvd","5767445","L256","1349 McFarland Blvd","Tuscaloosa","Alabama","35404","US","33.199704","-87.524375","+1 855-955-2534"
"ALDI 9750 Highway 69 S","5757805","FP39","9750 Highway 69 S","Tuscaloosa","Alabama","35405","US","33.11789","-87.55311","+1 855-955-2534"
"ALDI 4445 US Hwy 231","5767799","L973","4445 US Hwy 231","Wetumpka","Alabama","36092","US","32.506696","-86.2165675","+1 855-955-2534"
"ALDI 1272 South Amity Road","5767603","FE56","1272 South Amity Road","Conway","AR","72032","US","35.062649","-92.413229","+1 855-955-2534"
"ALDI 4220 E McCain Blvd","5757827","FL07","4220 E McCain Blvd","North Little Rock","AR","72117","US","34.787915","-92.2207","+1 855-955-2534"
"ALDI 2400 E Main Street","5875950","FL06","2400 E Main St","Russellville","AR","72802","US","35.2778","-93.10548","+1 855-955-2534"
"ALDI 2550 E BeeBe Capps Expy","5892829","FL08","2550 E Beebe-Capps Expy","Searcy","AR","72143","US","35.239302","-91.7068","+1 855-955-2534"
"ALDI 9215 Highway 107","5873459","FL05","9215 Highway 107","Sherwood","AR","72120","US","34.839085","-92.232075","+1 855-955-2534"
"ALDI 1361 S WATSON RD","5767830","FC20","1361 S WATSON RD","Buckeye","Arizona","85326","US","33.4337093","-112.5560119","+1 855-955-2534"
"ALDI 1829 E Florence Blvd","5757810","FC33","1829 E Florence Blvd","Casa Grande","Arizona","85122","US","32.879355","-111.709049","+1 855-955-2534"
"ALDI 2844 S Alma School Rd","5767905","FC24","2844 S Alma School Rd","Chandler","Arizona","85286","US","33.264147","-111.860423","+1 855-955-2534"
"ALDI 1801 E Pecos Rd","5767529","FC30","1801 E Pecos Rd","Gilbert","Arizona","85295","US","33.29523","-111.7511","+1 855-955-2534"
"ALDI 16880 N. 59th Ave","5768088","FC22","16880 N. 59th Ave","Glendale","Arizona","85306","US","33.63765","-112.18646","+1 855-955-2534"
"ALDI 845 N Estrella Pkwy","5767923","FC28","845 N Estrella Pkwy","Goodyear","Arizona","85338","US","33.45623","-112.39175","+1 855-955-2534"
"ALDI 5775 W Baseline Rd","5767428","FC25","5775 W Baseline Rd","Laveen Village","Arizona","85339","US","33.3774062","-112.181656","+1 855-955-2534"
"ALDI 2738 S Signal Butte Rd","5768188","FC29","2738 S Signal Butte Rd","Mesa","Arizona","85209","US","33.3652847","-111.6012118","+1 855-955-2534"
"ALDI 24665 N Lake Pleasant Pkwy","5767427","FC27","24665 N Lake Pleasant Pkwy","Peoria","Arizona","85383","US","33.70758","-112.2711","+1 855-955-2534"
"ALDI 1401 E. Bell Rd.","5767458","FC26","1401 E. Bell Rd.","Phoenix","Arizona","85022","US","33.6398797","-112.0520617","+1 855-955-2534"
"ALDI 4553 E Cactus Road","5767209","FC34","4553 E Cactus Road","Phoenix","Arizona","85032","US","33.59852","-111.98533","+1 855-955-2534"
"ALDI 20229 S ELLSWORTH RD","5767678","FC21","20229 S ELLSWORTH RD","Queen Creek","Arizona","85142","US","33.2647177","-111.6338773","+1 855-955-2534"
"ALDI 13723 W Bell Rd","5757785","FO35","13723 W Bell Rd","Surprise","Arizona","85374","US","33.63729","-112.352873","+1 855-955-2534"
"ALDI 17038 W Waddell Rd","5757809","FC32","17038 W Waddell Rd","Surprise","Arizona","85388","US","33.610322","-112.423179","+1 855-955-2534"
"ALDI 1715 E Southern Ave","5768263","FC23","1715 E Southern Ave","Tempe","Arizona","85282","US","33.39224465","-111.9102839","+1 855-955-2534"
"ALDI 23 Eagle Mountain Blvd","5768333","FE55","23 Eagle Mountain Boulevard","Batesville","Arkansas","72501","US","35.7652742","-91.61111290000001","+1 855-955-2534"
"ALDI 1006 SW 14th Street","5767408","F289","1006 SW 14th Street","Bentonville","Arkansas","72712","US","36.357874","-94.224048","+1 855-955-2534"
"ALDI 1118 West Main Street","5768265","FK84","1118 West Main Street","Cabot","Arkansas","72023","US","34.97783039999999","-92.0274142","+1 855-955-2534"
"ALDI 3214 W Martin Luther King","5767170","F326","3214 W Martin Luther King","Fayetteville","Arkansas","72704","US","36.051576","-94.20653","+1 855-955-2534"
"ALDI 2201 South Zero Street","5767010","F258","2201 South Zero Street","Fort Smith","Arkansas","72901","US","35.328456","-94.411486","+1 855-955-2534"
"ALDI 8400 Phoenix Avenue","5766852","F295","8400 Phoenix Avenue","Fort Smith","Arkansas","72903","US","35.345393","-94.338858","+1 855-955-2534"
"ALDI 1105 Hwy. 62/65 North","5766862","F296","1105 Hwy. 62/65 North","Harrison","Arkansas","72601","US","36.259336","-93.125438","+1 855-955-2534"
"ALDI 2610 S Caraway Road","5766563","F160","2610 South Caraway Road","Jonesboro","Arkansas","72401","US","35.8132399","-90.6773968","+1 855-955-2534"
"ALDI 12309 Chenal Pkwy","5767982","FK43","12309 Chenal Parkway","Little Rock","Arkansas","72211","US","34.7518101","-92.41530859999999","+1 855-955-2534"
"ALDI 45 Charles Blackburn Drive","6095444","FL01","45 Charles Blackburn Drive","Mountain Home","Arkansas","72653","US","36.3532405","-92.33643909999999","+1 855-955-2534"
"ALDI 2810 W. Kingshighway","5766578","F162","2810 West Kingshighway","Paragould","Arkansas","72450","US","36.0594261","-90.5245896","+1 855-955-2534"
"ALDI 1316 West Walnut","5767118","F323","1316 West Walnut","Rogers","Arkansas","72756","US","36.333432","-94.135976","+1 855-955-2534"
"ALDI 2802 Hwy. 412 East","5766823","F290","2802 Hwy. 412 East","Siloam Springs","Arkansas","72761","US","36.180114","-94.513216","+1 855-955-2534"
"ALDI 2009 S. Thompson","5767299","F329","2009 S. Thompson","Springdale","Arkansas","72764","US","36.165856","-94.142521","+1 855-955-2534"
"ALDI 5001 Elm Springs Rd","5767518","FK81","5001 Elm Springs Rd","Springdale","Arkansas","72762","US","36.193133","-94.185295","+1 855-955-2534"
"ALDI 2309 Fayetteville Rd","5767781","F288","2309 Fayetteville Rd","Van Buren","Arkansas","72956","US","35.471936","-94.356992","+1 855-955-2534"
"ALDI 1221 N. Arizona Avenue","6050597","FO25","1221 North Arizona Avenue","Gilbert","AZ","85233","US","33.3720201","-111.8409924","+1 855-955-2534"
"ALDI 1045 S. Gilbert Road","6252072","FO39","1045 South Gilbert Road","Mesa","AZ","85204","US","33.3958019","-111.78695204","+1 855-955-2534"
"ALDI 6817 West Peoria Avenue","6252075","FT59","6817 West Peoria Avenue","Peoria","AZ","85345","US","33.5803535","-112.2053358","+1 855-955-2534"
"ALDI 2121 W Main St Ste 100","5768153","FC07","2121 W Main St Ste 100","Alhambra","California","91801","US","34.09245","-118.145569","+1 855-955-2534"
"ALDI 275 S Euclid St","5766840","FB44","275 S Euclid St","Anaheim","California","92802","US","33.829266","-117.94303","+1 855-955-2534"
"ALDI 1403 S Baldwin Ave","5767248","FC04","1403 S Baldwin Ave","Arcadia","California","91007","US","34.123178","-118.056435","+1 855-955-2534"
"ALDI 1221 E Grand Ave","5767565","FC35","1221 E Grand Ave","Arroyo Grande","California","93420","US","35.1193","-120.602194","+1 855-955-2534"
"ALDI 2120 Panama Ln","5767224","FB93","2120 Panama Ln","Bakersfield","California","93307","US","35.296874","-119.026166","+1 855-955-2534"
"ALDI 5190 Stockdale Hwy","5767959","FB92","5190 Stockdale Hwy","Bakersfield","California","93309","US","35.355677","-119.059135","+1 855-955-2534"
"ALDI 1638 E Second St","5767217","FB91","1638 E Second St","Beaumont","California","92223","US","33.925508","-116.949396","+1 855-955-2534"
"ALDI 16123 Bellflower Blvd","5767242","FB76","16123 Bellflower Blvd","Bellflower","California","90706","US","33.887866","-118.126295","+1 855-955-2534"
"ALDI 8351 La Palma Ave","5767035","FB60","8351 La Palma Ave","Buena Park","California","90620","US","33.848672","-117.988061","+1 855-955-2534"
"ALDI 687 N Victory Blvd","5767801","FB26","687 N Victory Blvd","Burbank","California","91502","US","34.18058","-118.319851","+1 855-955-2534"
"ALDI 2450 Rockwood Ave","5767159","FB80","2450 Rockwood Ave","Calexico","California","92231","US","32.695078","-115.496041","+1 855-955-2534"
"ALDI 20700 Avalon Blvd Ste 103","5768364","FC19","20700 Avalon Blvd Ste 103","Carson","California","90746","US","33.84408399","-118.2609355","+1 855-955-2534"
"ALDI 11530 South St","5766835","FB42","11530 South St","Cerritos","California","90703","US","33.8576","-118.087656","+1 855-955-2534"
"ALDI 3840 Grand Ave","5767259","FC08","3840 Grand Ave","Chino","California","91710","US","34.001235","-117.720479","+1 855-955-2534"
"ALDI 1850 Main Ct","5768252","FB97","1850 Main Ct","Chula Vista","California","91911","US","32.593461","-117.035181","+1 855-955-2534"
"ALDI 40 N 4th Avenue Ste 110","5767228","FB95","40 N 4th Avenue Ste 110","Chula Vista","California","91910","US","32.65102","-117.089637","+1 855-955-2534"
"ALDI 1725 Herndon Ave","5768385","FB32","1725 Herndon Ave","Clovis","California","93611","US","36.838024","-119.686158","+1 855-955-2534"
"ALDI 50180 Cesar Chavez Street","5768278","FC37","50180 Cesar Chavez Street","Coachella","California","92236","US","33.68306","-116.18018","+1 855-955-2534"
"ALDI 203 Towne Center Dr","5767709","FB31","203 Towne Center Dr","Compton","California","90220","US","33.879761","-118.220588","+1 855-955-2534"
"ALDI 705 N Main St","5766647","FB90","705 N Main St","Corona","California","92878","US","33.890472","-117.562822","+1 855-955-2534"
"ALDI 1400 N Azusa Ave","5766805","FB25","1400 N Azusa Ave","Covina","California","91722","US","34.104883","-117.907298","+1 855-955-2534"
"ALDI 490 Woollomes Ave","5768244","FB99","490 Woollomes Ave","Delano","California","93215","US","35.7464829","-119.2506038","+1 855-955-2534"
"ALDI 11215 Lakewood Blvd","5766963","FB38","11215 Lakewood Blvd","Downey","California","90241","US","33.934814","-118.12514","+1 855-955-2534"
"ALDI 123 Fletcher Parkway","5768079","FB65","123 Fletcher Parkway","El Cajon","California","92020","US","32.80674","-116.96327","+1 855-955-2534"
"ALDI 2260 N Imperial Ave","5767191","FB86","2260 N Imperial Ave","El Centro","California","92243","US","32.814292","-115.571178","+1 855-955-2534"
"ALDI 333 N El Camino Real","5767814","FC02","333 N El Camino Real","Encinitas","California","92024","US","33.055673","-117.260398","+1 855-955-2534"
"ALDI 1330 E Valley Parkway No. M","5767148","FB77","1330 E Valley Parkway No. M","Escondido","California","92027","US","33.132859","-117.064703","+1 855-955-2534"
"ALDI 1352B W Valley Pkwy","5768272","FB78","1352B W Valley Pkwy","Escondido","California","92029","US","33.112869","-117.10395","+1 855-955-2534"
"ALDI 15080 Summit Ave","5767054","FB68","15080 Summit Ave","Fontana","California","92336","US","34.149811","-117.475416","+1 855-955-2534"
"ALDI 9954 Sierra Avenue Ste 100","5768176","FF67","9954 Sierra Avenue Ste 100","Fontana","California","92335","US","34.072981","-117.435908","+1 855-955-2534"
"ALDI 17070 Magnolia St","5766989","FB47","17070 Magnolia St","Fountain Valley","California","92708","US","33.714804","-117.97028","+1 855-955-2534"
"ALDI 2072 W Shaw Ave","5767314","FB51","2072 W Shaw Ave","Fresno","California","93711","US","36.80861","-119.82794","+1 855-955-2534"
"ALDI 9901 Chapman Ave","5766968","FB46","9901 Chapman Ave","Garden Grove","California","92841","US","33.790066","-117.960114","+1 855-955-2534"
"ALDI 1550 W Redondo Beach Blvd","5767489","FB41","1550 W Redondo Beach Blvd","Gardena","California","90247","US","33.8895418","-118.3036821","+1 855-955-2534"
"ALDI 1251 S Lone Hill Ave","5768288","FC06","1251 S Lone Hill Ave","Glendora","California","91740","US","34.117269","-117.83056","+1 855-955-2534"
"ALDI 1789 W Lacey Blvd","5767302","FC40","1789 W Lacey Blvd","Hanford","California","93230","US","36.327315","-119.675003","+1 855-955-2534"
"ALDI 13360 Main St","5767628","FB94","13360 Main St","Hesperia","California","92345","US","34.427908","-117.372004","+1 855-955-2534"
"ALDI 18667 Bear Valley Rd","5767533","FB98","18667 Bear Valley Rd","Hesperia","California","92345","US","34.469959","-117.257055","+1 855-955-2534"
"ALDI 4020 Highland Ave","5767042","FB62","4020 Highland Ave","Highland","California","92346","US","34.137457","-117.198539","+1 855-955-2534"
"ALDI 3330 W Century Blvd","5766813","FB30","3330 W Century Blvd","Inglewood","California","90303","US","33.944351","-118.329419","+1 855-955-2534"
"ALDI 6365 PATS RANCH RD","5767373","FB36","6365 PATS RANCH RD","JURUPA VALLEY","California","91752","US","33.97346534","-117.5462552","+1 855-955-2534"
"ALDI 8089 Mission Blvd","5767997","FB72","8089 Mission Blvd","Jurupa Valley","California","92509","US","34.0135","-117.4599","+1 855-955-2534"
"ALDI 1001 E Imperial Hwy","5768337","FB27","1001 E Imperial Hwy","La Habra","California","90631","US","33.917893","-117.934671","+1 855-955-2534"
"ALDI 1545 N Hacienda Blvd","5767025","FB59","1545 N Hacienda Blvd","La Puente","California","91744","US","34.048078","-117.947529","+1 855-955-2534"
"ALDI 78601 Highway 111","5767097","FB73","78601 Highway 111","La Quinta","California","92253","US","33.712466","-116.293367","+1 855-955-2534"
"ALDI 2268 Foothill Blvd","5766816","FB33","2268 Foothill Blvd","La Verne","California","91750","US","34.111087","-117.762792","+1 855-955-2534"
"ALDI 24270 El Toro Rd","5768203","FB45","24270 El Toro Rd","Laguna Woods","California","92637","US","33.609773","-117.723293","+1 855-955-2534"
"ALDI 18294 Collier Ave","5767178","FB83","18294 Collier Ave","Lake Elsinore","California","92530","US","33.691995","-117.339307","+1 855-955-2534"
"ALDI 23330 El Toro Road","5767274","FF65","23330 El Toro Road","Lake Forest","California","92630","US","33.623161","-117.696874","+1 855-955-2534"
"ALDI 2014 E Avenue J","5768026","FC01","2014 E Avenue J","Lancaster","California","93535","US","34.689143","-118.094151","+1 855-955-2534"
"ALDI 729 North H Street","5768425","FC39","729 North H Street","Lompoc","California","93436","US","34.6485655","-120.45849035","+1 855-955-2534"
"ALDI 4580 Atlantic Ave","5767014","FB57","4580 Atlantic Ave","Long Beach","California","90807","US","33.842365","-118.183489","+1 855-955-2534"
"ALDI 955 E Anaheim St","5767160","FB81","955 E Anaheim St","Long Beach","California","90813","US","33.78279","-118.1809","+1 855-955-2534"
"ALDI 30163 Haun Rd","5767065","FB69","30163 Haun Rd","Menifee","California","92584","US","33.682877","-117.176843","+1 855-955-2534"
"ALDI 731 E Huntington Dr","5768231","FC05","731 E Huntington Dr","Monrovia","California","91016","US","34.141355","-117.98897","+1 855-955-2534"
"ALDI 12630 Day St","5767171","FB82","12630 Day St","Moreno Valley","California","92553","US","33.936734","-117.276131","+1 855-955-2534"
"ALDI 24865 Iris Ave","5768287","FC42","24865 Iris Ave","Moreno Valley","California","92551","US","33.888331","-117.226423","+1 855-955-2534"
"ALDI 28230 Clinton Keith Road","5767504","FC36","28230 Clinton Keith Road","Murrieta","California","92563","US","33.599544","-117.167912","+1 855-955-2534"
"ALDI 39025 Date St","5767492","FB89","39025 Date St","Murrieta","California","92563","US","33.552304","-117.141026","+1 855-955-2534"
"ALDI 19350 Nordhoff Way Unit F","5767507","FB64","19350 Nordhoff Way Unit F","Northridge","California","91324","US","34.234283","-118.556267","+1 855-955-2534"
"ALDI 4251 Oceanside Blvd","5767219","FB61","4251 Oceanside Blvd","Oceanside","California","92056","US","33.207965","-117.281751","+1 855-955-2534"
"ALDI 1710 E Gonzales Rd","5766618","FB34","1710 E Gonzales Rd","Oxnard","California","93036","US","34.217745","-119.159691","+1 855-955-2534"
"ALDI 635 S Ventura Rd","5767570","FC12","635 S Ventura Rd","Oxnard","California","93030","US","34.196176","-119.196368","+1 855-955-2534"
"ALDI 72543 Highway 111 Ste B","5767124","FB74","72543 Highway 111 Ste B","Palm Desert","California","92260","US","33.725124","-116.401681","+1 855-955-2534"
"ALDI 5200 E Ramon Rd Ste B5","5767135","FB75","5200 E Ramon Rd Ste B5","Palm Springs","California","92264","US","33.818763","-116.492912","+1 855-955-2534"
"ALDI 740 W Rancho Vista Blvd","5767205","FB87","740 W Rancho Vista Blvd","Palmdale","California","93551","US","34.600732","-118.145193","+1 855-955-2534"
"ALDI 14626 Roscoe Blvd","5767221","FB88","14626 Roscoe Blvd","Panorama City","California","91402","US","34.220972","-118.451433","+1 855-955-2534"
"ALDI 80 Citrus Ave","5767342","FB79","80 Citrus Ave","Perris","California","92571","US","33.808737","-117.228269","+1 855-955-2534"
"ALDI 8950 Washington Blvd","5768038","FB39","8950 Washington Blvd","Pico Rivera","California","90660","US","33.982294","-118.098742","+1 855-955-2534"
"ALDI 1670 Indian Hill Blvd","5767368","FC18","1670 Indian Hill Blvd","Pomona","California","91767","US","34.075497","-117.718461","+1 855-955-2534"
"ALDI 770 S Jaye St","5767730","FC41","770 S Jaye St","Porterville","California","93257","US","36.052311","-119.0258418","+1 855-955-2534"
"ALDI 13440 Poway Rd","5767885","FC15","13440 Poway Rd","Poway","California","92064","US","32.957492","-117.038736","+1 855-955-2534"
"ALDI 215 16th St","5768102","FB96","215 16th St","Ramona","California","92065","US","33.03844","-116.87938","+1 855-955-2534"
"ALDI 11070 Foothill Blvd","5767273","FC09","11070 Foothill Blvd","Rancho Cucamonga","California","91730","US","34.108245","-117.563818","+1 855-955-2534"
"ALDI 27641 SanBernardino Ave 110","5767213","FB52","27641 SanBernardino Ave 110","Redlands","California","92374","US","34.075923","-117.202738","+1 855-955-2534"
"ALDI 630 W Foothill Blvd","5767041","FB54","630 W Foothill Blvd","Rialto","California","92376","US","34.107273","-117.382592","+1 855-955-2534"
"ALDI 3750 Tyler St","5767201","FB28","3750 Tyler St","Riverside","California","92503","US","33.910493","-117.461808","+1 855-955-2534"
"ALDI 17406 Colima Rd","5920128","FO29","17406 Colima Rd","Rowland Heights","California","91748","US","33.990493","-117.924346","+1 855-955-2534"
"ALDI 625 E Hospitality Ln","5766996","FB55","625 E Hospitality Ln","San Bernardino","California","92408","US","34.064855","-117.272675","+1 855-955-2534"
"ALDI 5270 Balboa Ave","5767385","FF69","5270 Balboa Ave","San Diego","California","92117","US","32.819369","-117.182027","+1 855-955-2534"
"ALDI 6755 Mira Mesa Blvd Ste 130","5767556","FB40","6755 Mira Mesa Blvd Ste 130","San Diego","California","92121","US","32.906076","-117.172843","+1 855-955-2534"
"ALDI 8788 Navajo Rd","5766706","FB66","8788 Navajo Rd","San Diego","California","92119","US","32.804557","-117.007784","+1 855-955-2534"
"ALDI 9340 Mira Mesa Blvd.","5767216","FO23","9340 Mira Mesa Blvd.","San Diego","California","92126","US","32.91744","-117.124573","+1 855-955-2534"
"ALDI 1667 S San Jacinto Ave","5767721","FB85","1667 S San Jacinto Ave","San Jacinto","California","92583","US","33.769867","-116.958018","+1 855-955-2534"
"ALDI 671 S. Rancho Santa Fe Road","5767488","FB67","671 S. Rancho Santa Fe Road","San Marcos","California","92078","US","33.131408","-117.205568","+1 855-955-2534"
"ALDI 2830 S Bristol St","5768112","FB48","2830 S Bristol St","Santa Ana","California","92704","US","33.708829","-117.886817","+1 855-955-2534"
"ALDI 19361 Soledad Canyon Rd","5768350","FF70","19361 Soledad Canyon Rd","Santa Clarita","California","91351","US","34.415827","-118.472266","+1 855-955-2534"
