"retailer","store_id","location_name","status","is_test_location","address","city","county","state","state_code","postal_code","country","country_code","latitude","longitude","phone","store_format","total_building_area","merchandise_level","time_zone","google_maps_url","drive_up_latitude","drive_up_longitude","drive_up_radius","capabilities","capability_names","store_url","source","retrieved_at_utc"
"Target","55","Medallion","Open","False","6464 E NORTHWEST HWY STE 212","Dallas","Dallas","Texas","TX","75214-7802","United States of America","US","32.856408","-96.752703","214-361-2026","Pfresh","125587","1","America/Chicago","https://maps.google.com/maps?cid=11318092829215102366","32.856171","-96.752508","40","Bev Bar | Champion | CVS pharmacy | Drive Up | Fresh Grocery | Hollister | KBB by Kahlana | Kendra Scott | LoveShackFancy | Mobile | Opt | ParkeXTarget | Roblox Exp | Rosie Assoulin | Shipt Delivery | Starbucks | Store Pickup | Ulta | WIC | Wine Beer","Accepts WIC | AT&T Cell Phone Activations | Beverage Bar | Champion | CVS pharmacy | Drive Up | Fresh Grocery | KBB by Kahlana | Kendra Scott x Target | Love Shack Fancy X Target | Parke x Target | Roblox Experience | Rosie Assoulin x Target | Shipt Delivery | Starbucks Cafe | Store Pickup | Target Optical | The Hollister Collection at Target | Ulta Beauty at Target | Wine & Beer Available","https://www.target.com/sl/medallion/55","Target Redsky store_location_v1","2026-07-31T18:32:12Z"
"Target","61","Fargo","Open","False","4202 13th Ave SW","Fargo","Cass","North Dakota","ND","58103-3308","United States of America","US","46.860628","-96.852985","701-282-7400","Pfresh","145816","1","America/Chicago","https://maps.google.com/maps?cid=12589483911574169836","46.8605722","-96.8526472","53","Champion | Drive Up | Fresh Grocery | Hollister | Kendra Scott | LoveShackFancy | Mobile | Shipt Delivery | Snack Bar Pizza | Starbucks | Store Pickup | Ulta | WIC | Wine Beer Spir","Accepts WIC | AT&T Cell Phone Activations | Champion | Drive Up | Fresh Grocery | Kendra Scott x Target | Love Shack Fancy X Target | Shipt Delivery | Snack Bar - Pizza | Starbucks Cafe | Store Pickup | The Hollister Collection at Target | Ulta Beauty at Target | Wine, Beer & Spirits Available","https://www.target.com/sl/fargo/61","Target Redsky store_location_v1","2026-07-31T18:32:13Z"
"Target","64","Boulder","Open","False","2800 Pearl St","Boulder","Boulder","Colorado","CO","80301-1123","United States of America","US","40.021887","-105.256717","303-449-3400","Pfresh","135586","1","America/Denver","https://maps.google.com/maps?cid=12579264109713204768","40.021928","-105.256711","44","Champion | CVS pharmacy | Drive Up | Fresh Grocery | Hollister | KBB by Kahlana | LoveShackFancy | Mobile | Opt | Roblox Exp | Shipt Delivery | Snack Bar Pizza | Starbucks | Store Pickup | Ulta | Wine Beer","AT&T Cell Phone Activations | Champion | CVS pharmacy | Drive Up | Fresh Grocery | KBB by Kahlana | Love Shack Fancy X Target | Roblox Experience | Shipt Delivery | Snack Bar - Pizza | Starbucks Cafe | Store Pickup | Target Optical | The Hollister Collection at Target | Ulta Beauty at Target | Wine & Beer Available","https://www.target.com/sl/boulder/64","Target Redsky store_location_v1","2026-07-31T18:32:14Z"
"Target","67","Plano","Open","False","120 W Parker Rd","Plano","Collin","Texas","TX","75075-2331","United States of America","US","33.037404","-96.70825","972-424-9575","Pfresh","114048","1","America/Chicago","https://maps.google.com/maps?cid=12434226758268657325","33.037437","-96.707996","40","Bev Bar | CVS pharmacy | Drive Up | EV Charging | Fresh Grocery | Hollister | LoveShackFancy | Mobile | Shipt Delivery | Starbucks | Store Pickup | Wine Beer","AT&T Cell Phone Activations | Beverage Bar | CVS pharmacy | Drive Up | EV Charging | Fresh Grocery | Love Shack Fancy X Target | Shipt Delivery | Starbucks Cafe | Store Pickup | The Hollister Collection at Target | Wine & Beer Available","https://www.target.com/sl/plano/67","Target Redsky store_location_v1","2026-07-31T18:32:15Z"
"Target","68","East St Paul","Open","False","1744 Suburban Ave","Saint Paul","Ramsey","Minnesota","MN","55106-6619","United States of America","US","44.949601","-93.028418","651-778-1188","Pfresh","114780","1","America/Chicago","https://maps.google.com/maps?cid=11971387367468026631","44.949607","-93.028292","39","Bev Bar | Champion | CVS pharmacy | Disney | Drive Up | Fresh Grocery | Hollister | LoveShackFancy | Mobile | Shipt Delivery | Starbucks | Store Pickup | WIC","Accepts WIC | AT&T Cell Phone Activations | Beverage Bar | Champion | CVS pharmacy | Disney store at Target | Drive Up | Fresh Grocery | Love Shack Fancy X Target | Shipt Delivery | Starbucks Cafe | Store Pickup | The Hollister Collection at Target","https://www.target.com/sl/east-st-paul/68","Target Redsky store_location_v1","2026-07-31T18:32:16Z"
"Target","69","Valley West","Open","False","1800 Valley West Dr","West Des Moines","Polk","Iowa","IA","50266-1104","United States of America","US","41.599259","-93.752751","515-225-3784","Pfresh","115878","1","America/Chicago","https://maps.google.com/maps?cid=1882707148448012984","41.59921","-93.753201","46","Bev Bar | CVS pharmacy | Drive Up | Fresh Grocery | Hollister | Kendra Scott | LoveShackFancy | Mobile | Shipt Delivery | Starbucks | Store Pickup | WIC | Wine Beer Spir","Accepts WIC | AT&T Cell Phone Activations | Beverage Bar | CVS pharmacy | Drive Up | Fresh Grocery | Kendra Scott x Target | Love Shack Fancy X Target | Shipt Delivery | Starbucks Cafe | Store Pickup | The Hollister Collection at Target | Wine, Beer & Spirits Available","https://www.target.com/sl/valley-west/69","Target Redsky store_location_v1","2026-07-31T18:32:17Z"
"Target","75","Houston Westchase","Open","False","10801 Westheimer Rd","Houston","Harris","Texas","TX","77042-3201","United States of America","US","29.735533","-95.568335","713-782-9950","Pfresh","124720","1","America/Chicago","https://maps.google.com/maps?cid=11990776882479516189","29.735523","-95.567992","45","Champion | CVS pharmacy | Drive Up | Fresh Grocery | Hollister | LoveShackFancy | Mobile | Shipt Delivery | Starbucks | Store Pickup | Wine Beer","AT&T Cell Phone Activations | Champion | CVS pharmacy | Drive Up | Fresh Grocery | Love Shack Fancy X Target | Shipt Delivery | Starbucks Cafe | Store Pickup | The Hollister Collection at Target | Wine & Beer Available","https://www.target.com/sl/houston-westchase/75","Target Redsky store_location_v1","2026-07-31T18:32:18Z"
"Target","76","Sioux Falls","Open","False","3600 S Louise Ave","Sioux Falls","Minnehaha","South Dakota","SD","57106-6326","United States of America","US","43.511783","-96.769284","605-361-1551","Pfresh","133935","1","America/Chicago","https://maps.google.com/maps?cid=4012410303744261957","43.511975","-96.769486","37","Beer | Cafe-Pizza | Champion | Converse | CVS pharmacy | Drive Up | Fresh Grocery | Hollister | Kendra Scott | LoveShackFancy | Mobile | Opt | Shipt Delivery | Starbucks | Store Pickup | WIC","Accepts WIC | AT&T Cell Phone Activations | Beer Available | Caf̩-Pizza | Champion | Converse | CVS pharmacy | Drive Up | Fresh Grocery | Kendra Scott x Target | Love Shack Fancy X Target | Shipt Delivery | Starbucks Cafe | Store Pickup | Target Optical | The Hollister Collection at Target","https://www.target.com/sl/sioux-falls/76","Target Redsky store_location_v1","2026-07-31T18:32:19Z"
"Target","78","Alton","Open","False","300 Homer M Adams Pkwy","Alton","Madison","Illinois","IL","62002-5928","United States of America","US","38.921281","-90.169937","618-465-4950","Pfresh","99507","1","America/Chicago","https://maps.google.com/maps?cid=9710580445742827920","38.92117","-90.170485","38","Bev Bar | Champion | Drive Up | Fresh Grocery | Hollister | LoveShackFancy | Mobile | Shipt Delivery | Store Pickup | WIC | Wine Beer Spir","Accepts WIC | AT&T Cell Phone Activations | Beverage Bar | Champion | Drive Up | Fresh Grocery | Love Shack Fancy X Target | Shipt Delivery | Store Pickup | The Hollister Collection at Target | Wine, Beer & Spirits Available","https://www.target.com/sl/alton/78","Target Redsky store_location_v1","2026-07-31T18:32:19Z"
"Target","79","Fort Collins","Open","False","105 W Troutman Pkwy","Fort Collins","Larimer","Colorado","CO","80525-3038","United States of America","US","40.527326","-105.078537","970-223-9100","Gen Merch","121324","1","America/Denver","https://maps.google.com/maps?cid=3048271045533331628","40.527356","-105.078723","42","Champion | Converse | CVS pharmacy | Drive Up | Hollister | LoveShackFancy | Mobile | Shipt Delivery | Store Pickup | Wine Beer","AT&T Cell Phone Activations | Champion | Converse | CVS pharmacy | Drive Up | Love Shack Fancy X Target | Shipt Delivery | Store Pickup | The Hollister Collection at Target | Wine & Beer Available","https://www.target.com/sl/fort-collins/79","Target Redsky store_location_v1","2026-07-31T18:32:20Z"
"Target","80","Wichita Falls","Open","False","4317 Kemp Blvd","Wichita Falls","Wichita","Texas","TX","76308-3717","United States of America","US","33.864791","-98.533874","940-691-3310","Gen Merch","99869","1","America/Chicago","https://maps.google.com/maps?cid=5382841343548883798","33.864895","-98.53398","41","Champion | Disney | Drive Up | Hollister | KBB by Kahlana | LoveShackFancy | Mobile | Starbucks | Store Pickup | Wine Beer","AT&T Cell Phone Activations | Champion | Disney store at Target | Drive Up | KBB by Kahlana | Love Shack Fancy X Target | Starbucks Cafe | Store Pickup | The Hollister Collection at Target | Wine & Beer Available","https://www.target.com/sl/wichita-falls/80","Target Redsky store_location_v1","2026-07-31T18:32:21Z"
"Target","82","Waukesha","Open","False","2401 Kossow Rd","Waukesha","Waukesha","Wisconsin","WI","53186-2904","United States of America","US","43.034537","-88.177573","262-784-8646","Pfresh","125897","1","America/Chicago","https://maps.google.com/maps?cid=1796558312393942619","43.034527","-88.177516","34","Bev Bar | Champion | CVS pharmacy | Drive Up | Fresh Grocery | Hollister | LoveShackFancy | Mobile | Opt | Shipt Delivery | Starbucks | Store Pickup | WIC","Accepts WIC | AT&T Cell Phone Activations | Beverage Bar | Champion | CVS pharmacy | Drive Up | Fresh Grocery | Love Shack Fancy X Target | Shipt Delivery | Starbucks Cafe | Store Pickup | Target Optical | The Hollister Collection at Target","https://www.target.com/sl/waukesha/82","Target Redsky store_location_v1","2026-07-31T18:32:22Z"
"Target","83","Lubbock University Ave","Open","False","7302 University Ave","Lubbock","Lubbock","Texas","TX","79423-1423","United States of America","US","33.528009","-101.872299","806-745-7579","Pfresh","122551","1","America/Chicago","https://maps.google.com/maps?cid=17230059429874333012","33.52813","-101.872288","39","Champion | Converse | CVS pharmacy | Drive Up | EV Charging | Hollister | LoveShackFancy | Mobile | Shipt Delivery | Snack Bar Pizza | Store Pickup | Ulta | Wine Beer","AT&T Cell Phone Activations | Champion | Converse | CVS pharmacy | Drive Up | EV Charging | Love Shack Fancy X Target | Shipt Delivery | Snack Bar - Pizza | Store Pickup | The Hollister Collection at Target | Ulta Beauty at Target | Wine & Beer Available","https://www.target.com/sl/lubbock-university-ave/83","Target Redsky store_location_v1","2026-07-31T18:32:23Z"
"Target","85","Minot","Open","False","2400 10th St SW","Minot","Ward","North Dakota","ND","58701-2013","United States of America","US","48.207108","-101.313391","701-852-5820","Pfresh","120196","1","America/Chicago","https://maps.google.com/maps?cid=6884962657899121701","48.20719","-101.31382","37","Champion | Converse | Drive Up | Hollister | LoveShackFancy | Starbucks | Store Pickup | Wine Beer Spir","Champion | Converse | Drive Up | Love Shack Fancy X Target | Starbucks Cafe | Store Pickup | The Hollister Collection at Target | Wine, Beer & Spirits Available","https://www.target.com/sl/minot/85","Target Redsky store_location_v1","2026-07-31T18:32:24Z"
"Target","86","Dubuque","Open","False","3500 Dodge St","Dubuque","Dubuque","Iowa","IA","52003-5261","United States of America","US","42.490219","-90.721855","563-557-9800","Pfresh","99356","1","America/Chicago","https://maps.google.com/maps?cid=17393351134653623897","42.490109","-90.721684","43","Champion | CVS pharmacy | Drive Up | Fresh Grocery | Hollister | LoveShackFancy | Mobile | Shipt Delivery | Starbucks | Store Pickup | Ulta | WIC | Wine Beer Spir","Accepts WIC | AT&T Cell Phone Activations | Champion | CVS pharmacy | Drive Up | Fresh Grocery | Love Shack Fancy X Target | Shipt Delivery | Starbucks Cafe | Store Pickup | The Hollister Collection at Target | Ulta Beauty at Target | Wine, Beer & Spirits Available","https://www.target.com/sl/dubuque/86","Target Redsky store_location_v1","2026-07-31T18:32:25Z"
"Target","90","Memphis Central","Open","False","601 Colonial Rd","Memphis","Shelby","Tennessee","TN","38117-5132","United States of America","US","35.113176","-89.90362","901-685-9240","Pfresh","120719","1","America/Chicago","https://maps.google.com/maps?cid=1218893643532077609","35.113055","-89.903293","44","Beer | Cafe-Pizza | Champion | CVS pharmacy | Drive Up | Fresh Grocery | Hollister | KBB by Kahlana | LoveShackFancy | Mobile | Shipt Delivery | Starbucks | Store Pickup","AT&T Cell Phone Activations | Beer Available | Caf̩-Pizza | Champion | CVS pharmacy | Drive Up | Fresh Grocery | KBB by Kahlana | Love Shack Fancy X Target | Shipt Delivery | Starbucks Cafe | Store Pickup | The Hollister Collection at Target","https://www.target.com/sl/memphis-central/90","Target Redsky store_location_v1","2026-07-31T18:32:25Z"
"Target","93","Grand Junction","Open","False","2424 Highway 6 and 50 Ste C","Grand Junction","Mesa","Colorado","CO","81505-1103","United States of America","US","39.09287","-108.601179","970-245-8056","Pfresh","114275","1","America/Denver","https://maps.google.com/maps?cid=563127045606568539","39.09292","-108.601077","42","Bev Bar | Champion | CVS pharmacy | Drive Up | Fresh Grocery | Hollister | LoveShackFancy | Mobile | Starbucks | Store Pickup | WIC | Wine Beer","Accepts WIC | AT&T Cell Phone Activations | Beverage Bar | Champion | CVS pharmacy | Drive Up | Fresh Grocery | Love Shack Fancy X Target | Starbucks Cafe | Store Pickup | The Hollister Collection at Target | Wine & Beer Available","https://www.target.com/sl/grand-junction/93","Target Redsky store_location_v1","2026-07-31T18:32:26Z"
"Target","95","Austin North","Open","False","8601 Research Blvd","Austin","Travis","Texas","TX","78758-7121","United States of America","US","30.362314","-97.715779","512-837-5163","Pfresh","114445","1","America/Chicago","https://maps.google.com/maps?cid=2589988870869069707","30.362525","-97.715873","38","Cafe-Pizza | Champion | CVS pharmacy | Drive Up | Fresh Grocery | Hollister | KBB by Kahlana | LoveShackFancy | Mobile | Shipt Delivery | Store Pickup | Wine Beer","AT&T Cell Phone Activations | Caf̩-Pizza | Champion | CVS pharmacy | Drive Up | Fresh Grocery | KBB by Kahlana | Love Shack Fancy X Target | Shipt Delivery | Store Pickup | The Hollister Collection at Target | Wine & Beer Available","https://www.target.com/sl/austin-north/95","Target Redsky store_location_v1","2026-07-31T18:32:27Z"
"Target","96","Austin South Lamar","Open","False","2300 W Ben White Blvd","Austin","Travis","Texas","TX","78704-7525","United States of America","US","30.233362","-97.792106","512-445-2266","Pfresh","100335","1","America/Chicago","https://maps.google.com/maps?cid=4187548896372386363","30.2331417","-97.7919806","50","Champion | CVS pharmacy | Drive Up | Fresh Grocery | Hollister | KBB by Kahlana | LoveShackFancy | Mobile | Parachute | Roblox Exp | Shipt Delivery | Starbucks | Store Pickup | Wine Beer","AT&T Cell Phone Activations | Champion | CVS pharmacy | Drive Up | Fresh Grocery | KBB by Kahlana | Love Shack Fancy X Target | Parachute for Target | Roblox Experience | Shipt Delivery | Starbucks Cafe | Store Pickup | The Hollister Collection at Target | Wine & Beer Available","https://www.target.com/sl/austin-south-lamar/96","Target Redsky store_location_v1","2026-07-31T18:32:28Z"
"Target","100","Ridgedale","Open","False","13201 Ridgedale Dr","Minnetonka","Hennepin","Minnesota","MN","55305-1809","United States of America","US","44.970157","-93.447411","952-542-8250","Pfresh","150941","1","America/Chicago","https://maps.google.com/maps?cid=5246849287022736367","44.9697917","-93.4472194","44","Cafe-Pizza | Champion | CVS pharmacy | Drive Up | EV Charging | Fresh Grocery | Hollister | LoveShackFancy | ParkeXTarget | Rosie Assoulin | Shipt Delivery | Starbucks | Store Pickup | WIC","Accepts WIC | Caf̩-Pizza | Champion | CVS pharmacy | Drive Up | EV Charging | Fresh Grocery | Love Shack Fancy X Target | Parke x Target | Rosie Assoulin x Target | Shipt Delivery | Starbucks Cafe | Store Pickup | The Hollister Collection at Target","https://www.target.com/sl/ridgedale/100","Target Redsky store_location_v1","2026-07-31T18:32:29Z"
"Target","108","Evansville North","Open","False","4000 1st Ave","Evansville","Vanderburgh","Indiana","IN","47710-3614","United States of America","US","38.015727","-87.576467","812-426-2218","Pfresh","113125","1","America/Chicago","https://maps.google.com/maps?cid=12105295177059613923","38.0153","-87.5764583","68","Bev Bar | Champion | CVS pharmacy | Drive Up | Fresh Grocery | Hollister | LoveShackFancy | Mobile | Roblox Exp | Shipt Delivery | Starbucks | Store Pickup | Wine Beer Spir","AT&T Cell Phone Activations | Beverage Bar | Champion | CVS pharmacy | Drive Up | Fresh Grocery | Love Shack Fancy X Target | Roblox Experience | Shipt Delivery | Starbucks Cafe | Store Pickup | The Hollister Collection at Target | Wine, Beer & Spirits Available","https://www.target.com/sl/evansville-north/108","Target Redsky store_location_v1","2026-07-31T18:32:29Z"
"Target","111","Kokomo","Open","False","1037 S Reed Rd","Kokomo","Howard","Indiana","IN","46902-1929","United States of America","US","40.474985","-86.109158","765-457-7577","Gen Merch","107836","1","America/New_York","https://maps.google.com/maps?cid=15316821586630765371","40.475078","-86.109149","38","Champion | CVS pharmacy | Drive Up | Hollister | LoveShackFancy | Mobile | Shipt Delivery | Store Pickup | Wine Beer Spir","AT&T Cell Phone Activations | Champion | CVS pharmacy | Drive Up | Love Shack Fancy X Target | Shipt Delivery | Store Pickup | The Hollister Collection at Target | Wine, Beer & Spirits Available","https://www.target.com/sl/kokomo/111","Target Redsky store_location_v1","2026-07-31T18:32:30Z"
"Target","137","Bloomington Normal","Open","False","301 Veterans Pkwy","Normal","McLean","Illinois","IL","61761-2115","United States of America","US","40.507342","-88.957364","309-454-5648","Pfresh","100914","1","America/Chicago","https://maps.google.com/maps?cid=3103622219072052767","40.507537","-88.95726","33","Bev Bar | Champion | Drive Up | Fresh Grocery | Hollister | LoveShackFancy | Mobile | Shipt Delivery | Starbucks | Store Pickup | WIC | Wine Beer Spir","Accepts WIC | AT&T Cell Phone Activations | Beverage Bar | Champion | Drive Up | Fresh Grocery | Love Shack Fancy X Target | Shipt Delivery | Starbucks Cafe | Store Pickup | The Hollister Collection at Target | Wine, Beer & Spirits Available","https://www.target.com/sl/bloomington-normal/137","Target Redsky store_location_v1","2026-07-31T18:32:31Z"
"Target","139","New Albany","Open","False","2209 State St","New Albany","Floyd","Indiana","IN","47150-4924","United States of America","US","38.305507","-85.841632","812-945-5046","Pfresh","101643","1","America/New_York","https://maps.google.com/maps?cid=10778374917147091357","38.305366","-85.841227","47","Bev Bar | Champion | CVS pharmacy | Drive Up | Fresh Grocery | Hollister | LoveShackFancy | Mobile | Shipt Delivery | Store Pickup | Wine Beer Spir","AT&T Cell Phone Activations | Beverage Bar | Champion | CVS pharmacy | Drive Up | Fresh Grocery | Love Shack Fancy X Target | Shipt Delivery | Store Pickup | The Hollister Collection at Target | Wine, Beer & Spirits Available","https://www.target.com/sl/new-albany/139","Target Redsky store_location_v1","2026-07-31T18:32:32Z"
