"retailer","store_id","store_name","address","city","state","zip_code","country","latitude","longitude","phone","website","opening_status","coming_soon","opening_date","wine","beer","liquor","source","source_query"
"Trader Joe's","186","Traderjoes","1885 University Ave","Berkeley","CA","94703","US","37.87193","-122.27331","510-204-9074","https://locations.traderjoes.com/ca/berkeley/186/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/berkeley/186/"
"Trader Joe's","11","Traderjoes","2500 E Imperial Hwy","Brea","CA","92821","US","33.91057","-117.87002","714-257-1180","https://locations.traderjoes.com/ca/brea/11/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/brea/11/"
"Trader Joe's","201","Traderjoes","5451 Lone Tree Way","Brentwood","CA","94513","US","37.96115","-121.75011","925-516-3044","https://locations.traderjoes.com/ca/brentwood/201/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/brentwood/201/"
"Trader Joe's","124","Traderjoes","214 E Alameda Ave","Burbank","CA","91502","US","34.17496","-118.29886","818-848-4299","https://locations.traderjoes.com/ca/burbank/124/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/burbank/124/"
"Trader Joe's","254","Traderjoes","23741 Calabasas Rd.","Calabasas","CA","91302","US","34.15567","-118.64498","818-591-6758","https://locations.traderjoes.com/ca/calabasas/254/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/calabasas/254/"
"Trader Joe's","114","Traderjoes","363 Carmen Dr","Camarillo","CA","93010","US","34.21985","-119.05322","805-388-1925","https://locations.traderjoes.com/ca/camarillo/114/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/camarillo/114/"
"Trader Joe's","73","Traderjoes","1875 Bascom Ave","Campbell","CA","95008","US","37.28796","-121.93328","408-369-7823","https://locations.traderjoes.com/ca/campbell/73/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/campbell/73/"
"Trader Joe's","64","Traderjoes","3555 Clares St, #D","Capitola","CA","95010","US","36.97854","-121.97015","831-464-0115","https://locations.traderjoes.com/ca/capitola/64/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/capitola/64/"
"Trader Joe's","220","Traderjoes","2629 Gateway Rd","Carlsbad","CA","92009","US","33.12659","-117.25307","760-603-8473","https://locations.traderjoes.com/ca/carlsbad/220/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/carlsbad/220/"
"Trader Joe's","84","Traderjoes","22224 Redwood Road","Castro Valley","CA","94546","US","37.68536","-122.073","510-538-2738","https://locations.traderjoes.com/ca/castro-valley/84/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/castro-valley/84/"
"Trader Joe's","118","Traderjoes","67720 E Palm Canyon Dr","Cathedral City","CA","92234","US","33.7892","-116.48305","760-202-0090","https://locations.traderjoes.com/ca/cathedral-city/118/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/cathedral-city/118/"
"Trader Joe's","104","Traderjoes","12861 Towne Center Dr","Cerritos","CA","90703","US","33.86924","-118.05813","562-402-5148","https://locations.traderjoes.com/ca/cerritos/104/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/cerritos/104/"
"Trader Joe's","184","Traderjoes","10330 Mason Ave","Chatsworth","CA","91311","US","34.25826","-118.5788","818-341-3010","https://locations.traderjoes.com/ca/chatsworth/184/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/chatsworth/184/"
"Trader Joe's","199","Traderjoes","801 East Ave, Ste 110","Chico","CA","95926","US","39.75933","-121.84651","530-343-9920","https://locations.traderjoes.com/ca/chico/199/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/chico/199/"
"Trader Joe's","216","Traderjoes","13911 Peyton Drive","Chino Hills","CA","91709","US","34.00054","-117.73211","909-627-1404","https://locations.traderjoes.com/ca/chino-hills/216/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/chino-hills/216/"
"Trader Joe's","120","Traderjoes","878 Eastlake Pkwy, Ste 810","Chula Vista","CA","91914","US","32.65132","-116.97039","619-656-5370","https://locations.traderjoes.com/ca/chula-vista/120/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/chula-vista/120/"
"Trader Joe's","214","Traderjoes","475 W Foothill Blvd","Claremont","CA","91711","US","34.10739","-117.72203","909-625-8784","https://locations.traderjoes.com/ca/claremont/214/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/claremont/214/"
"Trader Joe's","180","Traderjoes","1077 N Willow Ave","Clovis","CA","93611","US","36.84933","-119.72804","559-325-3120","https://locations.traderjoes.com/ca/clovis/180/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/clovis/180/"
"Trader Joe's","60","Traderjoes","1150 Concord Ave","Concord","CA","94520","US","37.97922","-122.0564","925-689-2990","https://locations.traderjoes.com/ca/concord/60/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/concord/60/"
"Trader Joe's","83","Traderjoes","785 Oak Grove Rd","Concord","CA","94518","US","37.93683","-122.02474","925-521-1134","https://locations.traderjoes.com/ca/concord/83/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/concord/83/"
"Trader Joe's","213","Traderjoes","2790 Cabot Dr","Corona","CA","92883","US","33.81149","-117.50656","951-603-0299","https://locations.traderjoes.com/ca/corona/213/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/corona/213/"
"Trader Joe's","290","Traderjoes","2170 Harbor Blvd, Ste 100","Costa Mesa","CA","92627","US","33.65326","-117.9191","949-208-7420","https://locations.traderjoes.com/ca/costa-mesa/290/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/costa-mesa/290/"
"Trader Joe's","35","Traderjoes","640 W 17th St","Costa Mesa","CA","92627","US","33.63679","-117.92458","949-642-5134","https://locations.traderjoes.com/ca/costa-mesa/35/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/costa-mesa/35/"
"Trader Joe's","251","Traderjoes","6150 Slauson Ave","Culver City","CA","90230","US","33.98801","-118.39285","310-313-0441","https://locations.traderjoes.com/ca/culver-city/251/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/culver-city/251/"
"Trader Joe's","36","Traderjoes","9290 Culver Blvd","Culver City","CA","90232","US","34.02523","-118.39299","310-202-1108","https://locations.traderjoes.com/ca/culver-city/36/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/culver-city/36/"
"Trader Joe's","242","Traderjoes","5245 Katella Ave.","Cypress","CA","90720","US","33.80321","-118.04149","714-220-4930","https://locations.traderjoes.com/ca/cypress/242/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/cypress/242/"
"Trader Joe's","74","Traderjoes","417 Westlake Center","Daly City","CA","94015","US","37.7","-122.48224","650-755-3825","https://locations.traderjoes.com/ca/daly-city/74/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/daly-city/74/"
"Trader Joe's","65","Traderjoes","85 Railroad Ave","Danville","CA","94526","US","37.8231","-122.00323","925-838-5757","https://locations.traderjoes.com/ca/danville/65/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/danville/65/"
"Trader Joe's","182","Traderjoes","885 Russell Blvd","Davis","CA","95616","US","38.54673","-121.76149","530-757-2693","https://locations.traderjoes.com/ca/davis/182/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/davis/182/"
"Trader Joe's","55","Traderjoes","1566 Colorado Blvd","Eagle Rock","CA","90041","US","34.13926","-118.20044","323-257-6422","https://locations.traderjoes.com/ca/eagle-rock/55/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/eagle-rock/55/"
"Trader Joe's","108","Traderjoes","225 El Cerrito Plaza","El Cerrito","CA","94530","US","37.89891","-122.29982","510-524-7609","https://locations.traderjoes.com/ca/el-cerrito/108/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/el-cerrito/108/"
"Trader Joe's","190","Traderjoes","9670 Bruceville Road","Elk Grove","CA","95757","US","38.4066","-121.42053","916-686-9980","https://locations.traderjoes.com/ca/elk-grove/190/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/elk-grove/190/"
"Trader Joe's","72","Traderjoes","5700 Christie Ave","Emeryville","CA","94608","US","37.83698","-122.29423","510-658-8091","https://locations.traderjoes.com/ca/emeryville/72/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/emeryville/72/"
"Trader Joe's","25","Traderjoes","115 N El Camino Real, Ste A","Encinitas","CA","92024","US","33.0471","-117.25581","760-634-2114","https://locations.traderjoes.com/ca/encinitas/25/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/encinitas/25/"
"Trader Joe's","56","Traderjoes","17640 Burbank Blvd","Encino","CA","91316","US","34.17179","-118.51777","818-990-7751","https://locations.traderjoes.com/ca/encino/56/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/encino/56/"
"Trader Joe's","105","Traderjoes","1885 S Centre City Pkwy","Escondido","CA","92025","US","33.10002","-117.07483","760-233-4020","https://locations.traderjoes.com/ca/escondido/105/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/escondido/105/"
"Trader Joe's","71","Traderjoes","5309 Sunrise Blvd","Fair Oaks","CA","95628","US","38.66207","-121.27387","916-863-1744","https://locations.traderjoes.com/ca/fair-oaks/71/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/fair-oaks/71/"
"Trader Joe's","101","Traderjoes","1350 Gateway Blvd, Ste A1-A7","Fairfield","CA","94533","US","38.26415","-122.05223","707-434-0144","https://locations.traderjoes.com/ca/fairfield/101/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/fairfield/101/"
"Trader Joe's","172","Traderjoes","850 East Bidwell","Folsom","CA","95630","US","38.67244","-121.15591","916-817-8820","https://locations.traderjoes.com/ca/folsom/172/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/folsom/172/"
"Trader Joe's","77","Traderjoes","39324 Argonaut Way","Fremont","CA","94538","US","37.54347","-121.98615","510-794-1386","https://locations.traderjoes.com/ca/fremont/77/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/fremont/77/"
"Trader Joe's","8","Traderjoes","8478 N. Friant Road","Fresno","CA","93720","US","36.8588","-119.78265","559-433-6478","https://locations.traderjoes.com/ca/fresno/8/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/fresno/8/"
"Trader Joe's","53","Traderjoes","103 E Glenoaks Blvd","Glendale","CA","91207","US","34.15984","-118.25454","818-507-8192","https://locations.traderjoes.com/ca/glendale/53/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/glendale/53/"
"Trader Joe's","110","Traderjoes","5767 Calle Real","Goleta","CA","93117","US","34.44069","-119.82524","805-692-2234","https://locations.traderjoes.com/ca/goleta/110/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/goleta/110/"
"Trader Joe's","44","Traderjoes","11114 Balboa Blvd","Granada Hills","CA","91344","US","34.27266","-118.50161","818-368-6461","https://locations.traderjoes.com/ca/granada-hills/44/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/granada-hills/44/"
"Trader Joe's","235","Traderjoes","2052 Redwood Hwy","Greenbrae","CA","94904","US","37.93786","-122.51496","415-945-7955","https://locations.traderjoes.com/ca/greenbrae/235/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/greenbrae/235/"
"Trader Joe's","248","Traderjoes","1100 Pacific Coast Hwy","Hermosa Beach","CA","90254","US","33.86388","-118.39157","310-318-1767","https://locations.traderjoes.com/ca/hermosa-beach/248/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/hermosa-beach/248/"
"Trader Joe's","241","Traderjoes","21431 Brookhurst St","Huntington Beach","CA","92646","US","33.65184","-117.95413","714-968-4070","https://locations.traderjoes.com/ca/huntington-beach/241/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/huntington-beach/241/"
"Trader Joe's","244","Traderjoes","16821 Algonquin St","Huntington Beach","CA","92649","US","33.71752","-118.05145","714-846-7307","https://locations.traderjoes.com/ca/huntington-beach/244/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/huntington-beach/244/"
"Trader Joe's","47","Traderjoes","18681 Main St","Huntington Beach","CA","92648","US","33.69253","-117.99272","714-848-9640","https://locations.traderjoes.com/ca/huntington-beach/47/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/huntington-beach/47/"
"Trader Joe's","111","Traderjoes","4225 Campus Dr","Irvine","CA","92612","US","33.65047","-117.83751","949-509-6138","https://locations.traderjoes.com/ca/irvine/111/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/irvine/111/"
"Trader Joe's","210","Traderjoes","6222 Irvine Blvd","Irvine","CA","92620","US","33.69987","-117.74186","949-551-6402","https://locations.traderjoes.com/ca/irvine/210/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/irvine/210/"
"Trader Joe's","37","Traderjoes","14443 Culver Dr","Irvine","CA","92604","US","33.70616","-117.78842","949-857-8108","https://locations.traderjoes.com/ca/irvine/37/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/irvine/37/"
"Trader Joe's","42","Traderjoes","475 Foothill Blvd","La Canada","CA","91011","US","34.20004","-118.18842","818-790-6373","https://locations.traderjoes.com/ca/la-canada/42/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/la-canada/42/"
"Trader Joe's","5","Traderjoes","2101 W. Imperial Hwy, Suite A","La Habra","CA","90631","US","33.91869","-117.96902","562-266-1428","https://locations.traderjoes.com/ca/la-habra/5/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/la-habra/5/"
"Trader Joe's","20","Traderjoes","8657 Villa la Jolla Dr","La Jolla","CA","92037","US","32.86575","-117.23173","858-546-8629","https://locations.traderjoes.com/ca/la-jolla/20/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/la-jolla/20/"
"Trader Joe's","24","Traderjoes","5495 Grossmont Center Dr","La Mesa","CA","91942","US","32.7793","-117.00561","619-466-0105","https://locations.traderjoes.com/ca/la-mesa/24/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/la-mesa/24/"
"Trader Joe's","189","Traderjoes","46400 Washington St","La Quinta","CA","92253","US","33.71199","-116.29427","760-777-1553","https://locations.traderjoes.com/ca/la-quinta/189/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/la-quinta/189/"
"Trader Joe's","277","Traderjoes","2330 Foothill Blvd","La Verne","CA","91750","US","34.11054","-117.76157","909-901-4568","https://locations.traderjoes.com/ca/la-verne/277/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/la-verne/277/"
"Trader Joe's","257","Traderjoes","27542 Antonio Pkwy","Ladera Ranch","CA","92694","US","33.56288","-117.62755","949-239-6429","https://locations.traderjoes.com/ca/ladera-ranch/257/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/ladera-ranch/257/"
"Trader Joe's","115","Traderjoes","3649 Mt Diablo Blvd","Lafayette","CA","94549","US","37.89024","-122.12697","925-299-9344","https://locations.traderjoes.com/ca/lafayette/115/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/lafayette/115/"
"Trader Joe's","39","Traderjoes","24231 Avenida De La Carlota, Suite 100","Laguna Hills","CA","92653","US","33.60986","-117.703","949-461-0927","https://locations.traderjoes.com/ca/laguna-hills/39/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/laguna-hills/39/"
"Trader Joe's","103","Traderjoes","32351 Street of the Golden Lantern","Laguna Niguel","CA","92677","US","33.49297","-117.69665","949-493-8599","https://locations.traderjoes.com/ca/laguna-niguel/103/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/laguna-niguel/103/"
"Trader Joe's","313","Traderjoes","1590 Leucadia Blvd","Leucadia","CA","92024","US","33.06972","-117.26421","","https://locations.traderjoes.com/ca/leucadia/313/","coming_soon","true","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/leucadia/313/"
"Trader Joe's","208","Traderjoes","1122 A East Stanley Blvd","Livermore","CA","94550","US","37.68035","-121.78169","925-243-1947","https://locations.traderjoes.com/ca/livermore/208/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/livermore/208/"
"Trader Joe's","116","Traderjoes","4210 Long Beach Blvd","Long Beach","CA","90807","US","33.83554","-118.18844","562-422-1020","https://locations.traderjoes.com/ca/long-beach/116/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/long-beach/116/"
"Trader Joe's","194","Traderjoes","2222 North Bellflower Blvd","Long Beach","CA","90815","US","33.79678","-118.1229","562-596-2514","https://locations.traderjoes.com/ca/long-beach/194/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/long-beach/194/"
"Trader Joe's","43","Traderjoes","6451 E Pacific Coast  Hwy","Long Beach","CA","90803","US","33.75766","-118.10893","562-596-4388","https://locations.traderjoes.com/ca/long-beach/43/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/long-beach/43/"
"Trader Joe's","127","Traderjoes","2310 Homestead Rd","Los Altos","CA","94024","US","37.33671","-122.06705","408-245-1917","https://locations.traderjoes.com/ca/los-altos/127/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/los-altos/127/"
"Trader Joe's","119","Traderjoes","3456 S Sepulveda Blvd","Los Angeles","CA","90034","US","34.02048","-118.42211","310-836-2458","https://locations.traderjoes.com/ca/los-angeles/119/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/los-angeles/119/"
"Trader Joe's","17","Traderjoes","2738 Hyperion Ave","Los Angeles","CA","90027","US","34.10764","-118.27157","323-665-6774","https://locations.traderjoes.com/ca/los-angeles/17/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/los-angeles/17/"
"Trader Joe's","192","Traderjoes","8000 W Sunset Blvd","Los Angeles","CA","90046","US","34.0976","-118.36523","323-822-7663","https://locations.traderjoes.com/ca/los-angeles/192/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/los-angeles/192/"
"Trader Joe's","206","Traderjoes","1600 N Vine St","Los Angeles","CA","90028","US","34.10038","-118.32606","323-856-0689","https://locations.traderjoes.com/ca/los-angeles/206/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/los-angeles/206/"
"Trader Joe's","215","Traderjoes","11755 Olympic Blvd","Los Angeles","CA","90064","US","34.03372","-118.44931","310-477-5949","https://locations.traderjoes.com/ca/los-angeles/215/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/los-angeles/215/"
"Trader Joe's","234","Traderjoes","1000 Glendon Ave","Los Angeles","CA","90024","US","34.06227","-118.44377","310-824-1495","https://locations.traderjoes.com/ca/los-angeles/234/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/los-angeles/234/"
